Domain Name,Domain,TR_ID,Sub_TR_Order,Sub_TR_Indent,Sub_TR_ID,TR_Description,TR_Scope
Incident Response Planning,IR,IR-TR-100,0,0,,Incident response plans contain operational information and activities on:,Baseline
Incident Response Planning,IR,IR-TR-100,1,1,IR-TR-100.1,The structure and organization of the incident response capability,Baseline
Incident Response Planning,IR,IR-TR-100,2,1,IR-TR-100.2,Overall incident response process,Baseline
Incident Response Planning,IR,IR-TR-100,3,1,IR-TR-100.3,"Response principles and priorities, and metrics",Baseline
Incident Response Planning,IR,IR-TR-100,4,1,IR-TR-100.4,Reportable incident definitions,Baseline
Incident Response Planning,IR,IR-TR-100,5,1,IR-TR-100.5,Requirements to meet applicable state breach notification laws,Baseline
Incident Response Planning,IR,IR-TR-100,6,1,IR-TR-100.6,Cross-functional teams for recovery coordination,Baseline
Incident Response Planning,IR,IR-TR-110,0,0,,"For systems deployed in its FedRAMP boundaries, The Company reviews historical activity in the event of:Data SpillageVulnerability identified has been previously exploited.",FedRAMP Extended
Incident Response Planning,IR,IR-TR-200,0,0,,"Incident response procedures covering the preparation, detection, analysis, forensics, containment, internal notification, coordination with law enforcement, eradication, recovery, public relations, consumer response, regulator notification, and post-incident analysis are documented. ",Baseline
Incident Response Planning,IR,IR-TR-210,,0,,The Company uses centralized tools and automated mechanisms to assist in the reporting and response of security incidents.,Baseline
Incident Response Planning,IR,IR-TR-300,0,0,,"The Company maintains Customer response plans covering consumer and regulatory notification and remediation and includes consideration of appropriate staffing levels, training, and written materials.",Baseline
Incident Response Planning,IR,IR-TR-400,0,0,,"Incident response plans and procedures are reviewed, updated where required, and approved by senior leaders, at least annually.",Baseline
Incident Response Planning,IR,IR-TR-500,0,0,,"Incident response plans, procedures, or documentation are made available, where appropriate, to personnel and teams, including but not limited to:",Baseline
Incident Response Planning,IR,IR-TR-500,1,1,IR-TR-500.1,Security Incident Response Team (SIRT),Baseline
Incident Response Planning,IR,IR-TR-500,2,1,IR-TR-500.2,Cyber Incident Response Team (CIRT),Baseline
Incident Response Planning,IR,IR-TR-500,3,1,IR-TR-500.3,The Company Security Operations Center (SOC),Baseline
Incident Response Planning,IR,IR-TR-500,4,1,IR-TR-500.4,Business Unit Information Security Officers (BISOs),Baseline
Incident Response Planning,IR,IR-TR-500,5,1,IR-TR-500.5,Application Product and Services Teams,Baseline
Incident Response Planning,IR,IR-TR-600,0,0,,Incident response plans are stored in a central document repository and are accessible to personnel and teams.,Baseline
Incident Response Planning,IR,IR-TR-700,0,0,,Security incident tabletop exercises are performed at least biannually. At least annually the following topics are simulated:,Baseline
Incident Response Planning,IR,IR-TR-700,1,1,IR-TR-700.1,An exercise involving The Company senior leadership,Baseline
Incident Response Planning,IR,IR-TR-700,2,1,IR-TR-700.2,An exercise involving The Company Board of Directors,Baseline
Incident Response Planning,IR,IR-TR-700,3,1,IR-TR-700.3,An exercise involving Business Continuity/Disaster Recovery Plans,Baseline
Incident Response Planning,IR,IR-TR-700,4,1,IR-TR-700.4,"Additionally, tabletop exercises include consideration for the planning of the following:",Baseline
Incident Response Planning,IR,IR-TR-700,5,2,IR-TR-700.4.1,Staffing levels to handle a high volume of potential consumer traffic and provide consumers access to live agents within a reasonable amount of time.,Baseline
Incident Response Planning,IR,IR-TR-700,6,2,IR-TR-700.4.2,"Employee training to provide relevant, useful, and accurate information to consumers, including how to place fraud alerts or security freezes.",Baseline
Incident Response Planning,IR,IR-TR-700,7,2,IR-TR-700.4.3,Preparing written materials to provide to consumers that clearly and conspicuously discloses relevant information.,Baseline
Incident Response Planning,IR,IR-TR-700,8,2,IR-TR-700.4.4,Any necessary online resources to be compliant with the Americans with Disabilities Act (ADA).,Baseline
Incident Response Planning,IR,IR-TR-700,9,2,IR-TR-700.4.5,Planning for oral and written consumer communications in multiple languages depending on the nature of the tabletop exercise.,Baseline
Incident Response Planning,IR,IR-TR-700,10,2,IR-TR-700.4.6,The translation of state-required data breach notifications to consumers into multiple languages.,Baseline
Incident Response Planning,IR,IR-TR-700,11,1,IR-TR-700.5,Technical incident response tabletops are conducted by the CIRT.,Baseline
Incident Response Planning,IR,IR-TR-700,12,1,IR-TR-700.6,Tabletop exercises are documented with an After Action Report (AAR).,Baseline
Incident Response Planning,IR,IR-TR-800,0,0,,Incident severity levels are calculated based on the details of the incident including the overall impact to The Company and the criticality of impacted systems.,Baseline
Incident Response Planning,IR,IR-TR-800,1,1,IR-TR-800.1,Incident severity level is ranked on a scale from 1 (highest) to 4 (lowest) [SEV-1 through SEV-4].,Baseline
Incident Response Planning,IR,IR-TR-800,2,1,IR-TR-800.2,"Incident effect (current and projected) and criticality is calculated based on scope and scale of incident impact, including type and classification of involved data.",Baseline
Incident Response Planning,IR,IR-TR-900,0,0,,Incident reporting requirements are defined based on incident severity.,Baseline
Incident Response Planning,IR,IR-TR-1000,0,0,,"Internal notifications of security incidents are reported, at a minimum, as follows:",Baseline
Incident Response Planning,IR,IR-TR-1000,1,1,IR-TR-1000.1,"The Chief Information Security Officer (CISO), or CISO delegate, is notified in accordance with incident response plans or procedures.",Baseline
Incident Response Planning,IR,IR-TR-1000,2,2,IR-TR-1000.1.1,Notification to the CISO should not exceed  [INSERT TIME FRAME] from discovery of a defined security event.,Baseline
Incident Response Planning,IR,IR-TR-1000,3,1,IR-TR-1000.2,Notification to the CEO is performed by the CISO or delegate:,Baseline
Incident Response Planning,IR,IR-TR-1000,4,2,IR-TR-1000.2.1,Within  [INSERT TIME FRAME] from discovery of a defined security event,Baseline
Incident Response Planning,IR,IR-TR-1000,5,2,IR-TR-1000.2.2,Within  [INSERT TIME FRAME] from being notified of a defined third party security event,Baseline
Incident Response Planning,IR,IR-TR-1000,6,1,IR-TR-1000.3,"A summary of defined Security Events, Covered Incidents, and defined Third-Party Reported Events is reported to the Technology Committee of the Board [INSERT TIME FRAME].",Baseline
Incident Response Planning,IR,IR-TR-1100,0,0,,"Incidents are documented and tracked through resolution and include an After Action Report (e.g., lessons learned). AARs are used as needed to improve plans, procedures, processes and technologies.",Baseline
Incident Response Planning,IR,IR-TR-1200,0,0,,"The Company monitors for security incidents 24x7 and provides a 24x7 incident reporting capability using phone, email, and website.",Baseline
Incident Response Planning,IR,IR-TR-1300,0,0,,"Incidents which fall into the category of "Covered Incidents" require the following:",Baseline
Incident Response Planning,IR,IR-TR-1300,1,1,IR-TR-1300.1,Penetration testing of the impacted network within [INSERT TIME FRAME] of the verification of the incident,Baseline
Incident Response Planning,IR,IR-TR-1300,2,1,IR-TR-1300.2,Vulnerability testing of the impacted network every 4 [INSERT TIME FRAME] of the verification of the incident,Baseline
Incident Response Planning,IR,IR-TR-1300,3,1,IR-TR-1300.3,Evaluation of the Information Security Management Program (ISMP),Baseline
Incident Response Planning,IR,IR-TR-1300,4,1,IR-TR-1300.4,Reports of the effectiveness of the program,Baseline
Incident Response Planning,IR,IR-TR-1300,5,1,IR-TR-1300.5,"An assessment of the sufficiency of safeguards and internal and external risks related to the Covered Incident, promptly (not to exceed  [INSERT TIME FRAME]) following verification of such an incident",Baseline
Incident Response Planning,IR,IR-TR-1300,6,1,IR-TR-1300.6,"Notification to any U.S. federal, state, or local government entity of the Covered Incident:",Baseline
Incident Response Planning,IR,IR-TR-1300,7,2,IR-TR-1300.6.1,No later than  [INSERT TIME FRAME] after the date of discovery,Baseline
Incident Response Planning,IR,IR-TR-1300,8,2,IR-TR-1300.6.2,Submit a report to the  regulators,Baseline
Incident Response Planning,IR,IR-TR-1400,0,0,,After Action Reports are used to perform improvements in:,Baseline
Incident Response Planning,IR,IR-TR-1400,1,1,IR-TR-1400.1,Employee Training,Baseline
Incident Response Planning,IR,IR-TR-1400,2,1,IR-TR-1400.2,"Changes to systems, networks, or software design",Baseline
Incident Response Planning,IR,IR-TR-1400,3,1,IR-TR-1400.3,"Changes to information processing, storage, transmission, and disposal requirements",Baseline
Incident Response Planning,IR,IR-TR-1400,4,1,IR-TR-1400.4,"Prevention, detection, and response capabilities",Baseline
Incident Response Planning,IR,IR-TR-1410,0,0,,"For The Company systems deployed in its FedRAMP boundaries, incidents involving unauthorized access to government data are reported to the US-CERT (Computer Emergency Readiness Team), FedRAMP Program Office, or sponsoring agencies within  [INSERT TIME FRAME] of confirmation.",FedRAMP Extended
Asset Management,AM,AM-TR-100,0,0,,The Company maintains an inventory of assets and configuration items.,Baseline
Asset Management,AM,AM-TR-200,0,0,,"The Company uses manual processes and, where practicable, automated tool(s) to regularly inventory and classify, manage inventory disposition and maintain reports on assets.",Baseline
Asset Management,AM,AM-TR-300,0,0,,"The Company validates the completeness and accuracy of the hardware and software assets maintained within the asset inventory, including corresponding configuration items and asset attributes. The inventory is updated as necessary following execution of internal processes.",Baseline
Asset Management,AM,AM-TR-310,0,0,,"The inventory of The Company systems deployed in its FedRAMP boundaries is updated at least [INSERT TIME FRAME], following the execution of internal processes including but not limited to component or system installation, removals, and updates,  and when there is a system change.",FedRAMP Extended
Asset Management,AM,AM-TR-400,0,0,,"The Company maintains an asset inventory, which includes both software and hardware assets.",Baseline
Asset Management,AM,AM-TR-400,1,1,AM-TR-400.1,"Physical hardware asset attributes documented include: Asset Tag, Company, Serial Number, Model, Model Category, State, Assigned To (where applicable), Physical Location, Support Group, End of Service Life, and Link to the Configuration Item (where applicable)",Baseline
Asset Management,AM,AM-TR-400,2,1,AM-TR-400.2,"Software asset attributes documented include: Publisher, Product Classification, Product, Product Type, Version, and End of Service Life",Baseline
Asset Management,AM,AM-TR-500,0,0,,"The Company maintains a configuration items (CI) inventory, which includes Application Servers, Virtual Servers, Database Servers, Storage, Business Services, and Business Applications. The following attributes are documented for each type of configuration item:",Baseline
Asset Management,AM,AM-TR-500,1,1,AM-TR-500.1,"Application Servers: Name, Managed By, Category, Support Group, Version, Port Number, IP Address",Baseline
Asset Management,AM,AM-TR-500,2,1,AM-TR-500.2,"Servers: OS Domain, Operating System, OS Version, OS Service Pack, Host Name, Disk Space, Chassis Type, RAM, CPU Manufacturer, CPU Type, CPU Speed, CPU Count, CPU Core Count, IP Address, Software Installations, Running Processes",Baseline
Asset Management,AM,AM-TR-500,3,1,AM-TR-500.3,"Database Servers: Name, Type, Version, Support Group, IP Address",Baseline
Asset Management,AM,AM-TR-500,4,1,AM-TR-500.4,"Storage Servers: Name, Manufacturer, Location, Manufacturer, Asset Tag, Model ID, OS Version, Support Group, Serial Number, IP Address",Baseline
Asset Management,AM,AM-TR-500,5,1,AM-TR-500.5,"Business Services: Name, Owned By, Business Criticality, Version, Environment, Operational Status, Service Classification, Approval Group, Support Group, Managed By (Individual), Service Level Agreement (SLA), Location",Baseline
Asset Management,AM,AM-TR-500,6,1,AM-TR-500.6,"Business Application: Application Name, Status - (e.g., Lifecycle stage), Customer Type, Internet Facing Web App (Yes / No), Application Type, Architecture Type, Business Owner, IT Application Owner, Business Unit, Alliance, Tribe, Approval group, Assignment Group (i.e., group assigned to manage the CI), If the Configuration Item is in-scope for Regulatory and Compliance Audits, Data Classification, Recovery Time Objective, Data Volume, Data Residency Restrictions, Security Control Restriction, Inherent Risk Rating, Service Account Password Management, and SSH and RDP Multi-Factor Authentication",Baseline
Asset Management,AM,AM-TR-600,0,0,,Hardware technology asset acquisitions must be requested and approved using The Company's approved procurement process(es).,Baseline
Asset Management,AM,AM-TR-700,0,0,,"Hardware and software purchases shall be made available with a record of IT assets acquired, which should include necessary elements to receive items into the asset management repository.",Baseline
Asset Management,AM,AM-TR-900,0,0,,"Application Owners shall ensure that all applications, associated assets, and required attributes are mapped as a Business Application.",Baseline
Asset Management,AM,AM-TR-1000,0,0,,"Process Owners (i.e., the role that builds the asset) shall ensure that required discovery agents are installed upon instantiation of a system and required discovery credentials are enabled and provided to the IT Asset Management Team. Installation of the discovery agents should follow the IT Asset Management documentation.",Baseline
Asset Management,AM,AM-TR-1100,0,0,,"Process Owners (e.g., Network Managers, Systems Administrators) must ensure the IT Asset Management Team is made aware of new networks or IT asset devices being installed on the network and all particulars necessary for discovering networks and assets within a reasonable period of time.",Baseline
Asset Management,AM,AM-TR-1200,0,0,,"Process Owners (i.e., the role that builds the asset) shall ensure that each asset is assigned to the requesting business unit and application upon instantiation of the system.",Baseline
Asset Management,AM,AM-TR-1300,0,0,,The IT Asset Management Team shall deploy an asset normalization and reconciliation system to reduce component duplication in the inventory.,Baseline
Asset Management,AM,AM-TR-1310,0,0,,"Prior to transporting a physical asset offsite, management authorization is obtained. Physical assets storing sensitive data shall be transported by a secured courier or other delivery method that can be tracked.",Baseline
Asset Management,AM,AM-TR-1400,0,0,,"Media must be sanitized prior to disposal, removal, or reuse. This activity is documented, tracked, and verified. Approved methods of sanitization should follow NIST 800-88 sanitization guidelines.",Baseline
Asset Management,AM,AM-TR-1400,1,1,AM-TR-1400.1,"Media for disposal from datacenters (i.e., server hard drives) must be sanitized prior to removal from The Company premises",Baseline
Asset Management,AM,AM-TR-1400,2,1,AM-TR-1400.2,Media from data centers must be sanitized prior to reuse,Baseline
Asset Management,AM,AM-TR-1400,3,1,AM-TR-1400.3,"All other media must be sanitized prior to removal, reuse, or disposal",Baseline
Asset Management,AM,AM-TR-1500,0,0,,"When retiring or disposing of a physical asset, IT Asset Management shall update the status of the asset within the IT Asset Management system and ensure a Certificate of Disposal is attached to the asset record.",Baseline
Asset Management,AM,AM-TR-1600,0,0,,System Owners ensure that the software contained in standard images complies with licensed use rights and meets software currency requirements.,Baseline
Asset Management,AM,AM-TR-1700,0,0,,Application Owners ensure that the software used by its applications and systems complies with licensed use rights and meets software currency requirements.,Baseline
Asset Management,AM,AM-TR-1710,0,0,,"For The Company systems deployed in its FedRAMP boundaries, use of peer-to-peer file sharing technologies are controlled and documented and are not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work. ",FedRAMP Extended
Asset Management,AM,AM-TR-1720,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company employs automated mechanisms to continuously scan for and detect, with a maximum of five minute delay in detection, the presence of The Company defined unauthorized hardware, software, and firmware components. Upon detection of an unauthorized component, appropriate personnel are notified and remediation occurs timely. ",FedRAMP Extended
Asset Management,AM,AM-TR-1800,0,0,,ITAM Software Analyst(s) ensure that software license entitlement information is represented in the IT Asset Management system and that the following software license entitlements attributes are tracked where applicable:,Baseline
Asset Management,AM,AM-TR-1800,1,1,AM-TR-1800.1,Software Manufacturer,Baseline
Asset Management,AM,AM-TR-1800,2,1,AM-TR-1800.2,Software Model,Baseline
Asset Management,AM,AM-TR-1800,3,1,AM-TR-1800.3,Software License Type,Baseline
Asset Management,AM,AM-TR-1800,4,1,AM-TR-1800.4,Software License Duration,Baseline
Asset Management,AM,AM-TR-1800,5,1,AM-TR-1800.5,Software License Duration Start Date,Baseline
Asset Management,AM,AM-TR-1800,6,1,AM-TR-1800.6,Software License Duration End Date,Baseline
Asset Management,AM,AM-TR-1800,7,1,AM-TR-1800.7,Software License Metric,Baseline
Asset Management,AM,AM-TR-1800,8,1,AM-TR-1800.8,Software Purchased Rights,Baseline
Asset Management,AM,AM-TR-1800,9,1,AM-TR-1800.9,Software License Key,Baseline
Asset Management,AM,AM-TR-1800,10,1,AM-TR-1800.10,Purchase Order Number,Baseline
Asset Management,AM,AM-TR-1900,0,0,,"The IT Asset Management Team shall identify, verify, and report end of service life dates for installed hardware and software to Application Owners.",Baseline
Asset Management,AM,AM-TR-2000,0,0,,"Application Owners shall begin evaluating and planning to replace the software or to maintain the software with appropriate compensating controls at least two (2) years prior to the date on which the manufacturer's or third party's support will cease, or from the date the manufacturer or third party announces that it is no longer supporting the software if such period is less than two (2) years.",Baseline
Asset Management,AM,AM-TR-2100,0,0,,The asset management repository sends the Inventory notification to Application Owners when an Application Service is created within the Asset Inventory. Inventory certifications are tracked to completion with a target to complete promptly. ,Baseline
Asset Management,AM,AM-TR-2100,1,1,AM-TR-2100.1,"The Inventory Program collects data which determines the hosting location of the application and whether the application collects, processes, stores, and accesses or transmits Personal Data as defined in the Data Classification & Handling and Cryptographic Protections technical requiremnt.",Baseline
Asset Management,AM,AM-TR-2110,0,0,,Scope for The Company's FedRAMP authorization boundaries is identified and documented. Scope is defined using the Asset Inventory and includes the hardware and software assets and supporting configuration items in-scope for The Company's FedRAMP authorization boundaries.  ,FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-100,0,0,,"The Company maintains a comprehensive business continuity and disaster recovery framework that is updated annually and includes requirements for essential company missions and business functions, associated contingency requirements, recovery objectives, restoration priorities, contingency roles and responsibilities, and system restoration.",Baseline
Continuity and Recovery Planning,RP,RP-TR-100,1,1,RP-TR-100.1,Updates to the framework are communicated to employees through optional Learning Management System (LMS) training,Baseline
Continuity and Recovery Planning,RP,RP-TR-100,2,1,RP-TR-100.2,"Business Impact Analysis include critical application dependencies that detail component IDs, application names, hosting type, recovery time objective (RTO), recovery point objective (RPO), and dependent business processes. RTO and RPO are based on three factors: a) revenue loss over time, b) regulation requirements, and c) reputational risk. Recovery Tiers are defined in the Business Continuity Management Policy",Baseline
Continuity and Recovery Planning,RP,RP-TR-110,0,0,,"Contingency training for information system users working within the FedRAMP boundary is conducted within [INSERT TIME FRAME] of assuming a contingency role, when required by system changes, and annually thereafter. ",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-120,,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company provides for the recovery and reconstitution to a known state after a failure in which DR plans are activated.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-200,0,0,,The Company activates business continuity or disaster recovery contingency plans during or after an event as deemed necessary for plan activation.,Baseline
Continuity and Recovery Planning,RP,RP-TR-200,1,1,RP-TR-200.1,"For disaster recovery, technology teams evaluate each incident to determine whether to declare a disaster and activate the appropriate disaster recovery plan",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,2,1,RP-TR-200.2,"For business continuity, local management is empowered to activate plans",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,3,1,RP-TR-200.3,Resilience requirements to support delivery of critical services are used during plan activation in accordance with the business continuity and disaster recovery framework,Baseline
Continuity and Recovery Planning,RP,RP-TR-200,4,1,RP-TR-200.4,"Upon plan activation, business continuity and disaster recovery documentation is prepared and then stored in the System of Record",Baseline
Continuity and Recovery Planning,RP,RP-TR-200,5,1,RP-TR-200.5,"Post-incident analysis is performed, documented, and stored in the System of Record",Baseline
Continuity and Recovery Planning,RP,RP-TR-300,0,0,,Contingency plans are updated and approved [INSERT TIME FRAME]. Changes to plans are communicated with the appropriate stakeholders.,Baseline
Continuity and Recovery Planning,RP,RP-TR-300,1,1,RP-TR-300.1,Disaster Recovery Plans are reviewed and approved by owners [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-300,2,1,RP-TR-300.2,Business Continuity Plans are reviewed and approved by owners [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-300,3,1,RP-TR-300.3,Approvals are maintained within the System of Record,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,0,0,,Contingency plans are tested [INSERT TIME FRAME]. Testing is coordinated with stakeholders responsible for related plans.,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,1,1,RP-TR-400.1,Disaster recovery plan tests are documented in the System of Record with appropriate post-exercise approvals,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,2,1,RP-TR-400.2,Datacenter disaster recovery tests are performed based on a schedule published in Q1 of each year,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,3,1,RP-TR-400.3,Issues encountered during exercises are documented. Any issues not rectified during the exercise will have a service ticket documented for resolution tracking,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,4,1,RP-TR-400.4,RTOs documented in plans are measured in tests,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,5,1,RP-TR-400.5,RPOs documented in plans are measured in tests,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,6,1,RP-TR-400.6,The Company contingency plans are coordinated and tested with external service providers to ensure that The Company contingency requirements can be satisfied,Baseline
Continuity and Recovery Planning,RP,RP-TR-400,7,1,RP-TR-400.7,Backups designated for disaster recovery are tested [INSERT TIME FRAME],Baseline
Continuity and Recovery Planning,RP,RP-TR-500,0,0,,The Company maintains a list of facilities owned or leased by The Company. ,Baseline
Continuity and Recovery Planning,RP,RP-TR-510,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains a list of facilities owned or leased by The Company which includes alternate storage and processing sites separate from primary sites.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-520,0,0,,"For The Company systems deployed in its FedRAMP boundaries,  The Company identifies an alternate storage and processing site that is separated from the primary storage site to reduce susceptibility to the same threats.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-530,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company identifies potential accessibility problems to the alternate storage and processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-540,0,0,,The Company establishes an alternate processing site including necessary agreements to permit the transfer and resumption of FedRAMP boundary operations for essential missions/business functions within recovery time objectives (RTO) and recovery point objectives (RPO) assigned in plans when the primary processing capabilities are unavailable.  ,FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-550,0,0,,The Company ensures that equipment and supplies required to transfer and resume operations associated with the FedRAMP boundary are available at the alternate processing site or contracts are in place to support delivery to the site within the organization-defined time period for transfer/resumption.,FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-560,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company ensures that the alternate processing site provides information security safeguards equivalent to that of the primary site.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-570,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company develops alternate processing site agreements that contain priority-of-service provisions in accordance with organizational availability requirements (including recovery time objectives)",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-580,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company:
 (a) Develops primary and alternate telecommunications service agreements that contain priority- of-service provisions in accordance with organizational availability requirements (including recovery time objectives); and
 (b) Requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary and/or alternate telecommunications services are provided by a common carrier.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-590,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-595,0,0,,"For The Company systems deployed in its FedRAMP boundaries, the information system implements transaction recovery for systems that are transaction-based.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-600,0,0,,The Company maintains secure backups of information systems and data.,Baseline
Continuity and Recovery Planning,RP,RP-TR-600,1,1,RP-TR-600.1,The Company encrypts backups at rest per Data Classification & Handling and Cryptographic Protections Technical Requirement,Baseline
Continuity and Recovery Planning,RP,RP-TR-600,2,1,RP-TR-600.2,Physical backup media is protected in transit,Baseline
Continuity and Recovery Planning,RP,RP-TR-600,3,1,RP-TR-600.3,Data backups transmitted over the network are protected per Data Classification & Handling and Cryptographic Protections Technical Requirement,Baseline
Continuity and Recovery Planning,RP,RP-TR-600,4,1,RP-TR-600.4,Backups are not kept for archival purposes unless specified by legal requirements,Baseline
Continuity and Recovery Planning,RP,RP-TR-610,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains secure backups of information systems and data, including user-level, system-level, and audit records where applicable per Cloud Reference Guideline.",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-620,0,0,,"For The Company systems deployed in its FedRAMP boundaries, backups are completed based on contractual obligations for FedRAMP or at the following frequency if not otherwise stated:  [INSERT TIME FRAME].",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-630,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company conducts backups of information system documentation including security-related documentation. ",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-640,0,0,,Backups for The Company systems deployed in its FedRAMP boundaries are stored in separate facilities per business continuity requirements. ,FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-650,0,0,,"For The Company systems deployed in its FedRAMP boundaries, The Company maintains at least one data backup and two data copies/replicas of user-level information, system-level information, and information system documentation including security information. Each copy/replica is stored in a different/separate availability zone. The data backup is stored offline. See below as a reference: Production Data (Availability Zone 1). Copy/Replica 1 (Availability Zone 2). Copy/Replica 2 (Availability Zone 3). Data Backup (Offline)",FedRAMP Extended
Continuity and Recovery Planning,RP,RP-TR-700,0,0,,Data backups are completed to ensure they meet the stated recovery objectives as defined in the Disaster Recovery Standard and contingency plans.,Baseline
Continuity and Recovery Planning,RP,RP-TR-800,0,0,,The Company tests the integrity of backups for select applications on [INSERT TIME FRAME].,Baseline