control_id,control_domain,Control_Description,CIS_Control_Number,CIS_Control_Title,CIS_Control_Description
AM-CS-1,AM,The Company maintains an inventory of Assets.,1.1,Utilize an Active Discovery Tool,Utilize an active discovery tool to identify devices connected to the organization's network and update the hardware asset inventory.
AM-CS-1,AM,The Company maintains an inventory of Assets.,1.2,Use a Passive Asset Discovery Tool,Utilize a passive discovery tool to identify devices connected to the organization's network and automatically update the organization's hardware asset inventory.
AM-CS-1,AM,The Company maintains an inventory of Assets.,1.4,Maintain Detailed Asset Inventory,"Maintain an accurate and up-to-date inventory of all technology assets with the potential to store or process information. This inventory shall include all hardware assets, whether connected to the organization's network or not."
AM-CS-1,AM,The Company maintains an inventory of Assets.,1.5,Maintain Asset Inventory Information,"Ensure that the hardware asset inventory records the network address, hardware address, machine name, data asset owner, and department for each asset and whether the hardware asset has been approved to connect to the network."
AM-CS-1,AM,The Company maintains an inventory of Assets.,2.1,Maintain Inventory of Authorized Software,Maintain an up-to-date list of all authorized software that is required in the enterprise for any business purpose on any business system.
AM-CS-1,AM,The Company maintains an inventory of Assets.,2.3,Utilize Software Inventory Tools,Utilize software inventory tools throughout the organization to automate the documentation of all software on business systems.
AM-CS-1,AM,The Company maintains an inventory of Assets.,2.4,Track Software Inventory Information,"The software inventory system should track the name, version, publisher, and install date for all software, including operating systems authorized by the organization."
AM-CS-1,AM,The Company maintains an inventory of Assets.,2.5,Integrate Software and Hardware Asset Inventories,The software inventory system should be tied into the hardware asset inventory so all devices and associated software are tracked from a single location.
AM-CS-1,AM,The Company maintains an inventory of Assets.,12.1,Maintain an Inventory of Network Boundaries,Maintain an up-to-date inventory of all of the organization's network boundaries.
AM-CS-6,AM,"The Company tracks and reports on End Of Service Life (EOSL"") for hardware and software.""",2.2,Ensure Software is Supported by Vendor,Ensure that only software applications or operating systems currently supported and receiving vendor updates are added to the organization's authorized software inventory. Unsupported software should be tagged as unsupported in the inventory system.
AM-CS-6,AM,"The Company tracks and reports on End Of Service Life (EOSL"") for hardware and software.""",18.3,Verify That Acquired Software is Still Supported,Verify that the version of all software acquired from outside your organization is still supported by the developer or appropriately hardened based on developer security recommendations.
AM-CS-7,AM,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis.,1.4,Maintain Detailed Asset Inventory,"Maintain an accurate and up-to-date inventory of all technology assets with the potential to store or process information. This inventory shall include all hardware assets, whether connected to the organization's network or not."
AM-CS-7,AM,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis.,1.5,Maintain Asset Inventory Information,"Ensure that the hardware asset inventory records the network address, hardware address, machine name, data asset owner, and department for each asset and whether the hardware asset has been approved to connect to the network."
AM-CS-7,AM,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis.,2.1,Maintain Inventory of Authorized Software,Maintain an up-to-date list of all authorized software that is required in the enterprise for any business purpose on any business system.
AM-CS-7,AM,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis.,2.3,Utilize Software Inventory Tools,Utilize software inventory tools throughout the organization to automate the documentation of all software on business systems.
AM-CS-7,AM,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis.,2.4,Track Software Inventory Information,"The software inventory system should track the name, version, publisher, and install date for all software, including operating systems authorized by the organization."
AM-CS-7,AM,The asset inventory is validated and updated on a [INSERT TIME FRAME] basis.,2.5,Integrate Software and Hardware Asset Inventories,The software inventory system should be tied into the hardware asset inventory so all devices and associated software are tracked from a single location.
RP-CS-6,RP,The Company completes secure backups of information systems and data.,10.1,Ensure Regular Automated BackUps,Ensure that all system data is automatically backed up on a regular basis.
RP-CS-6,RP,The Company completes secure backups of information systems and data.,10.2,Perform Complete System Backups,"Ensure that all of the organization's key systems are backed up as a complete system, through processes such as imaging, to enable the quick recovery of an entire system."
RP-CS-6,RP,The Company completes secure backups of information systems and data.,10.4,Protect Backups,"Ensure that backups are properly protected via physical security or encryption when they are stored, as well as when they are moved across the network. This includes remote backups and cloud services."
RP-CS-6,RP,The Company completes secure backups of information systems and data.,10.5,Ensure All Backups Have at Least One Offline Backup Destination,"Ensure that all backups have at least one offline (i.e., not accessible via a network connection) backup destination."
RP-CS-7,RP,The Company performs testing of the integrity of backups on select applications on a [INSERT TIME FRAME] basis.,10.3,Test Data on Backup Media,"Backups of information are conducted, maintained, and tested"
CC-CS-1,CC,The Company deploys systems in to its environment in accordance with established baseline configurations.,4.2,Change Default Passwords,"Before deploying any new asset, change all default passwords to have values consistent with administrative level accounts."
CC-CS-1,CC,The Company deploys systems in to its environment in accordance with established baseline configurations.,5.1,Establish Secure Configurations,Maintain documented security configuration standards for all authorized operating systems and software.
CC-CS-1,CC,The Company deploys systems in to its environment in accordance with established baseline configurations.,5.2,Maintain Secure Images,Maintain secure images or templates for all systems in the enterprise based on the organization's approved configuration standards. Any new system deployment or existing system that becomes compromised should be imaged using one of those images or templates.
CC-CS-1,CC,The Company deploys systems in to its environment in accordance with established baseline configurations.,16.1,Lock Workstation Sessions After Inactivity,Automatically lock workstation sessions after a standard period of inactivity.
CC-CS-1,CC,The Company deploys systems in to its environment in accordance with established baseline configurations.,18.1,Use Standard Hardening Configuration Templates for Databases,"For applications that rely on a database, use standard hardening configuration templates. All systems that are part of critical business processes should also be tested."
CC-CS-1,CC,The Company deploys systems in to its environment in accordance with established baseline configurations.,7.2,Disable Unnecessary or Unauthorized Browser or Email Client Plugins,Uninstall or disable any unauthorized browser or email client plugins or add-on applications.
CC-CS-1,CC,The Company deploys systems in to its environment in accordance with established baseline configurations.,7.3,Limit Use of Scripting Languages in Web Browsers and Email Clients,Ensure that only authorized scripting languages are able to run in all web browsers and email clients.
CC-CS-1,CC,The Company deploys systems in to its environment in accordance with established baseline configurations.,7.8,Implement DMARC and Enable Receiver-Side Verification,"To lower the chance of spoofed or modified emails from valid domains, implement Domain-based Message Authentication, Reporting and Conformance (DMARC) policy and verification, starting by implementing the Sender Policy Framework (SPF) and the DomainKeys Identified Mail(DKIM) standards."
CC-CS-2,CC,The Company monitors for changes to configuration settings and critical files within The Company systems.,5.4,Deploy System Configuration Management Tools,Deploy system configuration management tools that will automatically enforce and redeploy configuration settings to systems at regularly scheduled intervals.
CC-CS-2,CC,The Company monitors for changes to configuration settings and critical files within The Company systems.,5.5,Implement Automated Configuration Monitoring Systems,"Utilize a Security Content Automation Protocol (SCAP) compliant configuration monitoring system to verify all security configuration elements, catalog approved exceptions, and alert when unauthorized changes occur."
CC-CS-2,CC,The Company monitors for changes to configuration settings and critical files within The Company systems.,11.3,Use Automated Tools to Verify Standard Device Configurations and Detect Changes,"Compare all network device configuration against approved security configurations defined for each network device in use, and alert when any deviations are discovered."
CC-CS-3,CC,The Company restricts access and/or permissions to install software to authorized individuals.,4.7,Limit Access to Script Tools,Limit access to scripting tools (such as Microsoft® PowerShell and Python) to only administrative or development users with the need to access those capabilities.
CC-CS-4,CC,The Company updates established baseline configurations to reflect changes in requirements on a [INSERT TIME FRAME] basis.,5.2,Maintain Secure Images,Maintain secure images or templates for all systems in the enterprise based on the organization's approved configuration standards. Any new system deployment or existing system that becomes compromised should be imaged using one of those images or templates.
CC-CS-4,CC,The Company updates established baseline configurations to reflect changes in requirements on a [INSERT TIME FRAME] basis.,5.3,Securely Store Master Images,"Store the master images and templates on securely configured servers, validated with integrity monitoring tools, to ensure that only authorized changes to the images are possible."
DE-CS-2,DE,Sensitive data is protected at rest in accordance with established data devaluation requirements.,14.8,Encrypt Sensitive Information at Rest,"Encrypt all sensitive information at rest using a tool that requires a secondary authentication mechanism not integrated into the operating system, in order to access the information."
DE-CS-2,DE,Sensitive data is protected at rest in accordance with established data devaluation requirements.,18.5,Use Only Standardized and Extensively Reviewed Encryption Algorithms,"Use only standardized, currently accepted, and extensively reviewed encryption algorithms."
DE-CS-3,DE,Sensitive data is protected in transit in accordance with established data devaluation requirements.,14.4,Encrypt All Sensitive Information in Transit,Encrypt all sensitive information in transit.
DE-CS-3,DE,Sensitive data is protected in transit in accordance with established data devaluation requirements.,15.7,Leverage the Advanced Encryption Standard (AES) to Encrypt Wireless Data,Leverage the Advanced Encryption Standard (AES) to encrypt wireless data in transit.
DE-CS-3,DE,Sensitive data is protected in transit in accordance with established data devaluation requirements.,18.5,Use Only Standardized and Extensively Reviewed Encryption Algorithms,"Use only standardized, currently accepted, and extensively reviewed encryption algorithms."
DE-CS-3,DE,Sensitive data is protected in transit in accordance with established data devaluation requirements.,11.5,Manage Network Devices Using Multi-Factor Authentication and Encrypted Sessions,Manage all network devices using multi-factor authentication and encrypted sessions.
DE-CS-3,DE,Sensitive data is protected in transit in accordance with established data devaluation requirements.,16.5,Encrypt Transmittal of Username and Authentication Credentials,Ensure that all account usernames and authentication credentials are transmitted across networks using encrypted channels.
DE-CS-4,DE,The Company owned laptops and mobile devices employ full disk encryption.,13.6,Encrypt Mobile Device Data,Utilize approved cryptographic mechanisms to protect enterprise data stored on all mobile devices.
DE-CS-4,DE,The Company owned laptops and mobile devices employ full disk encryption.,18.5,Use Only Standardized and Extensively Reviewed Encryption Algorithms,"Use only standardized, currently accepted, and extensively reviewed encryption algorithms."
DE-CS-7,DE,Cryptographic mechanisms have been implemented to protect data integrity in transit.,14.4,Encrypt All Sensitive Information in Transit,Encrypt all sensitive information in transit.
DE-CS-7,DE,Cryptographic mechanisms have been implemented to protect data integrity in transit.,15.7,Leverage the Advanced Encryption Standard (AES) to Encrypt Wireless Data,Leverage the Advanced Encryption Standard (AES) to encrypt wireless data in transit.
DE-CS-7,DE,Cryptographic mechanisms have been implemented to protect data integrity in transit.,18.5,Use Only Standardized and Extensively Reviewed Encryption Algorithms,"Use only standardized, currently accepted, and extensively reviewed encryption algorithms."
DE-CS-8,DE,Cryptographic mechanisms have been implemented to verify the authenticity of software prior to installation.,2.7,Utilize Application Whitelisting,Utilize application whitelisting technology on all assets to ensure that only authorized software executes and all unauthorized software is blocked from executing on assets.
DE-CS-8,DE,Cryptographic mechanisms have been implemented to verify the authenticity of software prior to installation.,2.8,Implement Application Whitelisting of Libraries,"The organization's application whitelisting software must ensure that only authorized software libraries (such as *.dll, *.ocx, *.so, etc.) are allowed to load into a system process."
DC-CS-2,DC,Information assets are classified and labeled in accordance with established data classification requirements.,13.1,Maintain an Inventory of Sensitive Information,"Maintain an inventory of all sensitive information stored, processed, or transmitted by the organization's technology systems, including those located on-site or at a remote service provider."
DC-CS-3,DC,"The organization manages, protects, and monitors removable media usage in accordance with documented and approved data handling and acceptable usage requirements.",13.7,Manage USB Devices,"If USB storage devices are required, enterprise software should be used that can configure systems to allow the use of specific devices. An inventory of such devices should be maintained."
DC-CS-3,DC,"The organization manages, protects, and monitors removable media usage in accordance with documented and approved data handling and acceptable usage requirements.",13.8,Manage System's External Removable Media's Read/Write Configurations,"Configure systems not to write data to external removable media, if there is no business need for supporting such devices."
DC-CS-3,DC,"The organization manages, protects, and monitors removable media usage in accordance with documented and approved data handling and acceptable usage requirements.",13.9,Encrypt Data on USB Storage Devices,"If USB storage devices are required, all data stored on such devices must be encrypted while at rest."
DC-CS-4,DC,A Data Loss Prevention (DLP) Program is in place to detect and monitor unauthorized leakage of sensitive data across the enterprise.,13.3,Monitor and Block Unauthorized Network Traffic,Deploy an automated tool on network perimeters that monitors for unauthorized transfer of sensitive information and blocks such transfers while alerting information security professionals.
DC-CS-4,DC,A Data Loss Prevention (DLP) Program is in place to detect and monitor unauthorized leakage of sensitive data across the enterprise.,13.4,Only Allow Access to Authorized Cloud Storage or Email Providers,Only allow access to authorized cloud storage or email providers.
DC-CS-4,DC,A Data Loss Prevention (DLP) Program is in place to detect and monitor unauthorized leakage of sensitive data across the enterprise.,14.7,Enforce Access Control to Data Through Automated Tools,"Use an automated tool, such as host-based Data Loss Prevention, to enforce access controls to data even when data is copied off a system."
DC-CS-6,DC,A risk based process to discover and protect or remove data at rest in repositories is defined and implemented.,13.2,Remove Sensitive Data or Systems Not Regularly Accessed by Organization,Remove sensitive data or systems not regularly accessed by the organization from the network. These systems shall only be used as stand-alone systems (disconnected from the network) by the business unit needing to occasionally use the system or completely virtualized and powered off until needed.
DC-CS-6,DC,A risk based process to discover and protect or remove data at rest in repositories is defined and implemented.,14.5,Utilize an Active Discovery Tool to Identify Sensitive Data,"Utilize an active discovery tool to identify all sensitive information stored, processed, or transmitted by the organization's technology systems, including those located on-site or at a remote service provider, and update the organization's sensitive information inventory."
AC-CS-1,AC,Enterprise User Accounts are provisioned when an approved request has been documented.,14.6,Protect Information Through Access Control Lists,"Protect all information stored on systems with file system, network share, claims, application, or database specific access control lists. These controls will enforce the principle that only authorized individuals should have access to the information based on their need to access the information as a part of their responsibilities."
AC-CS-10,AC,[INSERT USER TYPE] access is certified by appropriate management on a [INSERT TIME FRAME] basis.,16.8,Disable Any Unassociated Accounts,Disable any account that cannot be associated with a business process or business owner.
AC-CS-10,AC,[INSERT USER TYPE] access is certified by appropriate management on a [INSERT TIME FRAME] basis.,14.6,Protect Information Through Access Control Lists,"Protect all information stored on systems with file system, network share, claims, application, or database specific access control lists. These controls will enforce the principle that only authorized individuals should have access to the information based on their need to access the information as a part of their responsibilities."
AC-CS-13,AC,[INSERT USER TYPE] access is removed or disabled upon notification from an authorized party.,16.7,Establish Process for Revoking Access,"Establish and follow an automated process for revoking system access by disabling accounts immediately upon termination or change of responsibilities of an employee or contractor . Disabling these accounts, instead of deleting accounts, allows preservation of audit trails."
AC-CS-14,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.9,Disable Dormant Accounts,Automatically disable dormant accounts after a set period of inactivity.
AC-CS-14,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.1,Maintain an Inventory of Authentication Systems,"Maintain an inventory of each of the organization's authentication systems, including those located on-site or at a remote service provider."
AC-CS-14,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.4,Encrypt or Hash all Authentication Credentials,Encrypt or hash with a salt all authentication credentials when stored.
AC-CS-15,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.9,Disable Dormant Accounts,Automatically disable dormant accounts after a set period of inactivity.
AC-CS-15,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.1,Maintain an Inventory of Authentication Systems,"Maintain an inventory of each of the organization's authentication systems, including those located on-site or at a remote service provider."
AC-CS-15,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.4,Encrypt or Hash all Authentication Credentials,Encrypt or hash with a salt all authentication credentials when stored.
AC-CS-16,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.9,Disable Dormant Accounts,Automatically disable dormant accounts after a set period of inactivity.
AC-CS-16,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.1,Maintain an Inventory of Authentication Systems,"Maintain an inventory of each of the organization's authentication systems, including those located on-site or at a remote service provider."
AC-CS-16,AC,Security requirements for [INSERT USER TYPE] and credentials are enforced.,16.4,Encrypt or Hash all Authentication Credentials,Encrypt or hash with a salt all authentication credentials when stored.
AC-CS-2,AC,Organizational Users are only provisioned with system and application access when an approved request has been documented.,14.6,Protect Information Through Access Control Lists,"Protect all information stored on systems with file system, network share, claims, application, or database specific access control lists. These controls will enforce the principle that only authorized individuals should have access to the information based on their need to access the information as a part of their responsibilities."
AC-CS-3,AC,Privileged accounts for Organizational Users are provisioned when an approved request has been documented.,14.6,Protect Information Through Access Control Lists,"Protect all information stored on systems with file system, network share, claims, application, or database specific access control lists. These controls will enforce the principle that only authorized individuals should have access to the information based on their need to access the information as a part of their responsibilities."
AC-CS-4,AC,"Organizational User accounts that are managed by an Enterprise Directory Service are disabled or deleted when no longer necessary, upon termination, or upon notification from an authorized party.",16.7,Establish Process for Revoking Access,"Establish and follow an automated process for revoking system access by disabling accounts immediately upon termination or change of responsibilities of an employee or contractor . Disabling these accounts, instead of deleting accounts, allows preservation of audit trails."
AC-CS-4,AC,"Organizational User accounts that are managed by an Enterprise Directory Service are disabled or deleted when no longer necessary, upon termination, or upon notification from an authorized party.",16.2,Configure Centralized Point of Authentication,"Configure access for all accounts through as few centralized points of authentication as possible, including network, security, and cloud systems."
AC-CS-5,AC,"Organizational User accounts that are not managed by an Enterprise Directory Service are disabled or deleted when no longer necessary, upon termination, or upon notification from an authorized party.",16.7,Establish Process for Revoking Access,"Establish and follow an automated process for revoking system access by disabling accounts immediately upon termination or change of responsibilities of an employee or contractor . Disabling these accounts, instead of deleting accounts, allows preservation of audit trails."
AC-CS-6,AC,The Company enforces security requirements for Organizational User accounts and credentials that are managed by an Enterprise Directory Service.,16.9,Disable Dormant Accounts,Automatically disable dormant accounts after a set period of inactivity.
AC-CS-6,AC,The Company enforces security requirements for Organizational User accounts and credentials that are managed by an Enterprise Directory Service.,16.1,Maintain an Inventory of Authentication Systems,"Maintain an inventory of each of the organization's authentication systems, including those located on-site or at a remote service provider."
AC-CS-6,AC,The Company enforces security requirements for Organizational User accounts and credentials that are managed by an Enterprise Directory Service.,16.4,Encrypt or Hash all Authentication Credentials,Encrypt or hash with a salt all authentication credentials when stored.
AC-CS-7,AC,The Company enforces security requirements for Organizational User accounts and credentials that are not managed by an Enterprise Directory Service.,16.9,Disable Dormant Accounts,Automatically disable dormant accounts after a set period of inactivity.
AC-CS-7,AC,The Company enforces security requirements for Organizational User accounts and credentials that are not managed by an Enterprise Directory Service.,16.1,Maintain an Inventory of Authentication Systems,"Maintain an inventory of each of the organization's authentication systems, including those located on-site or at a remote service provider."
AC-CS-7,AC,The Company enforces security requirements for Organizational User accounts and credentials that are not managed by an Enterprise Directory Service.,16.4,Encrypt or Hash all Authentication Credentials,Encrypt or hash with a salt all authentication credentials when stored.
AC-CS-8,AC,The Company requires multi-factor authentication for remote network access.,12.1,Require All Remote Login to Use Multi-Factor Authentication,Require all remote login access to the organization's network to encrypt data in transit and use multi-factor authentication.
AC-CS-9,AC,The Company requires multi-factor authentication based on the risk associated with the type of account and access.,4.5,Use Multi-Factor Authentication for All Administrative Access,Use multi-factor authentication and encrypted channels for all administrative account access.
AC-CS-9,AC,The Company requires multi-factor authentication based on the risk associated with the type of account and access.,16.3,Require Multi-Factor Authentication,"Require multi-factor authentication for all user accounts, on all systems, whether managed on-site or by a third-party provider."
AC-CS-9,AC,The Company requires multi-factor authentication based on the risk associated with the type of account and access.,11.5,Manage Network Devices Using Multi-Factor Authentication and Encrypted Sessions,Manage all network devices using multi-factor authentication and encrypted sessions.
IR-CS-1,IR,The Company maintains operational plans for incident response and recovery activities.,19.1,Document Incident Response Procedures,Ensure that there are written incident response plans that define roles of personnel as well as phases of incident handling/management.
IR-CS-1,IR,The Company maintains operational plans for incident response and recovery activities.,19.2,Assign Job Titles and Duties for Incident Response,"Assign job titles and duties for handling computer and network incidents to specific individuals, and ensure tracking and documentation throughout the incident through resolution."
IR-CS-1,IR,The Company maintains operational plans for incident response and recovery activities.,19.3,Designate Management Personnel to Support Incident Handling,"Designate management personnel, as well as backups, who will support the incident handling process by acting in key decision-making roles."
IR-CS-1,IR,The Company maintains operational plans for incident response and recovery activities.,19.5,Maintain Contact Information For Reporting Security Incidents,"Assemble and maintain information on third-party contact information to be used to report a security incident, such as Law Enforcement, relevant government departments, vendors, and Information Sharing and Analysis Center (ISAC) partners."
IR-CS-1,IR,The Company maintains operational plans for incident response and recovery activities.,19.6,Publish Information Regarding Reporting Computer Anomalies and Incidents,"Publish information for all workforce members, regarding reporting computer anomalies and incidents, to the incident handling team. Such information should be included in routine employee awareness activities."
IR-CS-2,IR,The Company responds to security incidents in accordance with documented procedures and tracks response activities through resolution.,19.1,Document Incident Response Procedures,Ensure that there are written incident response plans that define roles of personnel as well as phases of incident handling/management.
IR-CS-2,IR,The Company responds to security incidents in accordance with documented procedures and tracks response activities through resolution.,19.8,Create Incident Scoring and Prioritization Schema,Create incident scoring and prioritization schema based on known or potential impact to your organization. Utilize score to define frequency of status updates and escalation procedures.
IR-CS-3,IR,The Company tests its security incident response capability biannually and updates its plans as needed.,19.7,Conduct Periodic Incident Scenario Sessions for Personnel,"Plan and conduct routine incident, response exercises and scenarios for the workforce involved in the incident response to maintain awareness and comfort in responding to real-world threats. Exercises should test communication channels, decision making, and incident responders technical capabilities using tools and data available to them."
IR-CS-4,IR,The Company conducts post security incident analysis and updates plans or procedures if areas for improvement are identified.,19.1,Document Incident Response Procedures,Ensure that there are written incident response plans that define roles of personnel as well as phases of incident handling/management.
IR-CS-5,IR,The Company reports security incidents to the CISO and Board of Directors (or subcommittee) based on severity and in accordance with the Security Incident Response Plan.,19.4,Devise Organization-wide Standards for Reporting Incidents,"Devise organization-wide standards for the time required for system administrators and other workforce members to report anomalous events to the incident handling team, the mechanisms for such reporting, and the kind of information that should be included in the incident notification."
IR-CS-5,IR,The Company reports security incidents to the CISO and Board of Directors (or subcommittee) based on severity and in accordance with the Security Incident Response Plan.,19.6,Publish Information Regarding Reporting Computer Anomalies and Incidents,"Publish information for all workforce members, regarding reporting computer anomalies and incidents, to the incident handling team. Such information should be included in routine employee awareness activities."
CM-CS-10,CM,The Company has threat detection and prevention capabilities for inbound email.,7.9,Block Unnecessary File Types,Block all email attachments entering the organization's email gateway if the file types are unnecessary for the organization's business.
CM-CS-10,CM,The Company has threat detection and prevention capabilities for inbound email.,7.1,Ensure Use of Only Fully Supported Browsers and Email Clients,"Ensure that only fully supported web browsers and email clients are allowed to execute in the organization, ideally only using the latest version of the browsers and email clients provided by the vendor."
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,4.8,Log and Alert on Changes to Administrative Group Membership,Configure systems to issue a log entry and alert when an account is added to or removed from any group assigned administrative privileges.
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,4.9,Log and Alert on Unsuccessful Administrative Account Login,Configure systems to issue a log entry and alert on unsuccessful logins to an administrative account.
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,6.2,Activate Audit Logging,Ensure that local logging has been enabled on all systems and networking devices.
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,6.3,Enable Detailed Logging,"Enable system logging to include detailed information such as a event source, date, user, timestamp, source addresses, destination addresses, and other useful elements."
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,6.4,Ensure Adequate Storage for Logs,Ensure that all systems that store logs have adequate storage space for the logs generated.
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,6.5,Central Log Management,Ensure that appropriate logs are being aggregated to a central log management system for analysis and review.
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,6.6,Deploy SIEM or Log Analytic Tools,Deploy Security Information and Event Management (SIEM) or log analytic tool for log correlation and analysis.
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,6.7,Regularly Review Logs,"On a regular basis, review logs to identify anomalies or abnormal events."
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,6.8,Regularly Tune SIEM,"On a regular basis, tune your SIEM system to better identify actionable events and decrease event noise."
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,14.9,Enforce Detail Logging for Access or Changes to Sensitive Data,Enforce detailed audit logging for access to sensitive data or changes to sensitive data (utilizing tools such as File Integrity Monitoring or Security Information and Event Monitoring).
CM-CS-16,CM,Application and Asset Owners configure systems to log events according to security requirements.,8.6,Centralize Anti-Malware Logging,Send all malware detection events to enterprise anti-malware administration tools and event log servers for analysis and alerting.
CM-CS-2,CM,The Company monitors internal personnel activity to detect potential cybersecurity incidents.,13.3,Monitor and Block Unauthorized Network Traffic,Deploy an automated tool on network perimeters that monitors for unauthorized transfer of sensitive information and blocks such transfers while alerting information security professionals.
CM-CS-2,CM,The Company monitors internal personnel activity to detect potential cybersecurity incidents.,13.4,Only Allow Access to Authorized Cloud Storage or Email Providers,Only allow access to authorized cloud storage or email providers.
